Time,Ground Truth,Estimation
0,300,256
1,300,262
2,300,333
3,300,256
4,300,269
5,300,282
6,300,218
7,300,262
8,300,320
9,300,256
10,300,333
11,300,256
12,300,307
13,300,307
14,300,282
15,300,224
16,300,256
17,300,262
18,300,301
19,300,282
20,300,230
21,300,294
22,300,333
23,300,256
24,300,218
25,300,179
26,300,230
27,300,269
28,300,256
29,300,294
30,300,294
31,300,218
32,300,231
33,300,256
34,300,269
35,300,243
36,300,307
37,300,294
38,300,282
39,300,320
40,300,346
41,300,307
42,300,256
43,300,256
44,300,256
45,299,246
46,300,230
47,300,307
48,300,282
49,300,282
