seqnum,0_id,20_id,40_id,60_id,80_id
100,5sVFDZ0S4mK-1RgRj8UmBA,uujq8ia-P6nE1S6k3KWEsA,JN9eO7l_00AVnfJyAbuofw,jcrSno5xhD_e7l_3wZxjZQ,9cfLm2Z7hjX2LVbdY2qUJw
200,JVqcUZnP33O-F8cL6jPyKA,uujq8ia-P6nE1S6k3KWEsA,P0TgNAs29IJyZuLCTSVakA,jcrSno5xhD_e7l_3wZxjZQ,9cfLm2Z7hjX2LVbdY2qUJw
300,dnTutCg2Prv02RkQedU7qQ,Guz7mk0l1qFLTMQTkAeoVA,P0TgNAs29IJyZuLCTSVakA,W3lRL_LYID_YjLyDkrfIig,9cfLm2Z7hjX2LVbdY2qUJw
400,dnTutCg2Prv02RkQedU7qQ,Guz7mk0l1qFLTMQTkAeoVA,P0TgNAs29IJyZuLCTSVakA,W3lRL_LYID_YjLyDkrfIig,W7Qc_5w5P74u8DRbtMIu2Q
500,dnTutCg2Prv02RkQedU7qQ,R5zGY5d85IU3G8BmgrFerA,P0TgNAs29IJyZuLCTSVakA,W3lRL_LYID_YjLyDkrfIig,W7Qc_5w5P74u8DRbtMIu2Q
600,dnTutCg2Prv02RkQedU7qQ,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,W7Qc_5w5P74u8DRbtMIu2Q
700,dnTutCg2Prv02RkQedU7qQ,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,W7Qc_5w5P74u8DRbtMIu2Q
800,dnTutCg2Prv02RkQedU7qQ,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,nNvbJ8cKhWF7GYGgYqGr3Q
900,dnTutCg2Prv02RkQedU7qQ,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,nNvbJ8cKhWF7GYGgYqGr3Q
1000,dnTutCg2Prv02RkQedU7qQ,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,nNvbJ8cKhWF7GYGgYqGr3Q
1100,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,nNvbJ8cKhWF7GYGgYqGr3Q
1200,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,nNvbJ8cKhWF7GYGgYqGr3Q
1300,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,nNvbJ8cKhWF7GYGgYqGr3Q
1400,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,nNvbJ8cKhWF7GYGgYqGr3Q
1500,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,I8WGEq4oaFq3US-1Csg31w
1600,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,I8WGEq4oaFq3US-1Csg31w
1700,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,I8WGEq4oaFq3US-1Csg31w
1800,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,W3lRL_LYID_YjLyDkrfIig,I8WGEq4oaFq3US-1Csg31w
1900,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,_sUgvPucih5rOCFW7_j2tQ,I8WGEq4oaFq3US-1Csg31w
2000,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,_sUgvPucih5rOCFW7_j2tQ,I8WGEq4oaFq3US-1Csg31w
2100,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,_sUgvPucih5rOCFW7_j2tQ,I8WGEq4oaFq3US-1Csg31w
2200,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,_sUgvPucih5rOCFW7_j2tQ,I8WGEq4oaFq3US-1Csg31w
2300,VlH12OMp9sphuVF4LL4R4A,R5zGY5d85IU3G8BmgrFerA,6_x6RW6tJuPO7gs-WvetWQ,_sUgvPucih5rOCFW7_j2tQ,I8WGEq4oaFq3US-1Csg31w
