seqnum,0_id,20_id,40_id,60_id,80_id
100,4evFVSzvArrYXDqlX9XYUg,Pf17agM7X0NvHJQeiACL5w,ylen-tTVGkpFDJ1fyadoew,0fDbwoLXmQgZsy0v6uFnow,YYyQ7qPPU_TXmaQ7Q4u6nA
200,PYe-TjDL_tNqj6KZhkUXPg,Pf17agM7X0NvHJQeiACL5w,whMe0ceQLC_2pfJFaIk2qw,0fDbwoLXmQgZsy0v6uFnow,BRVeCysiQuXjLd9EgkBclg
300,o6T3mptmDm70KkxOvXsGQg,Pf17agM7X0NvHJQeiACL5w,nTxsvp7TFoZHaBqJKjF6Fg,0fDbwoLXmQgZsy0v6uFnow,BRVeCysiQuXjLd9EgkBclg
400,o6T3mptmDm70KkxOvXsGQg,ZoCRoAn-KPfHD6c-mBnO3w,nTxsvp7TFoZHaBqJKjF6Fg,0fDbwoLXmQgZsy0v6uFnow,BRVeCysiQuXjLd9EgkBclg
500,o6T3mptmDm70KkxOvXsGQg,Bj7pJPqOdwi1trIPlnDoZA,nTxsvp7TFoZHaBqJKjF6Fg,0fDbwoLXmQgZsy0v6uFnow,1hP9CFabPjNUHAa-SPY-Lw
600,o6T3mptmDm70KkxOvXsGQg,bgCJhoASNgZ8GxNIr-yhpA,nTxsvp7TFoZHaBqJKjF6Fg,0fDbwoLXmQgZsy0v6uFnow,1hP9CFabPjNUHAa-SPY-Lw
700,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,nTxsvp7TFoZHaBqJKjF6Fg,0fDbwoLXmQgZsy0v6uFnow,bwCsLxNv90UluIKHmQo_Uw
800,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,nTxsvp7TFoZHaBqJKjF6Fg,KSKgMxI3X0Y47P2DkBqa_g,bwCsLxNv90UluIKHmQo_Uw
900,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,nTxsvp7TFoZHaBqJKjF6Fg,KSKgMxI3X0Y47P2DkBqa_g,bwCsLxNv90UluIKHmQo_Uw
1000,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,nTxsvp7TFoZHaBqJKjF6Fg,KSKgMxI3X0Y47P2DkBqa_g,bwCsLxNv90UluIKHmQo_Uw
1100,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,nTxsvp7TFoZHaBqJKjF6Fg,KSKgMxI3X0Y47P2DkBqa_g,bwCsLxNv90UluIKHmQo_Uw
1200,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,nTxsvp7TFoZHaBqJKjF6Fg,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
1300,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
1400,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
1500,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
1600,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
1700,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
1800,BcUpBNrt_XV1p6NL4KkIjA,bgCJhoASNgZ8GxNIr-yhpA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
1900,BcUpBNrt_XV1p6NL4KkIjA,YEQJmFTuRY7H5nYwFL28aA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
2000,BcUpBNrt_XV1p6NL4KkIjA,YEQJmFTuRY7H5nYwFL28aA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
2100,BcUpBNrt_XV1p6NL4KkIjA,YEQJmFTuRY7H5nYwFL28aA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
2200,BcUpBNrt_XV1p6NL4KkIjA,YEQJmFTuRY7H5nYwFL28aA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
2300,BcUpBNrt_XV1p6NL4KkIjA,YEQJmFTuRY7H5nYwFL28aA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
2400,BcUpBNrt_XV1p6NL4KkIjA,YEQJmFTuRY7H5nYwFL28aA,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
