seqnum,0_id,20_id,40_id,60_id,80_id
100,2E07U2ss3QZhvjAiGnqGnw,xzS2Wy5UJnaBr6hC9LDpmQ,rq2celrZXJYZPbmjhL4exA,Kj7Qo_3HuIiFFRYfVTAl7A,8V-BD83GsF5dx_mo4VoiCQ
200,2E07U2ss3QZhvjAiGnqGnw,yiRDhUCV6wM0Z-kKoLOydA,rq2celrZXJYZPbmjhL4exA,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
300,aX4wqFDkCm02WC4pZPtgFQ,yiRDhUCV6wM0Z-kKoLOydA,rq2celrZXJYZPbmjhL4exA,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
400,aX4wqFDkCm02WC4pZPtgFQ,_E80z79jMy32o7cGpJ_jXQ,rq2celrZXJYZPbmjhL4exA,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
500,aX4wqFDkCm02WC4pZPtgFQ,fb0bQ5A2RC3eC25bfqu-Yg,rq2celrZXJYZPbmjhL4exA,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
600,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,rq2celrZXJYZPbmjhL4exA,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
700,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,rq2celrZXJYZPbmjhL4exA,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
800,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,rq2celrZXJYZPbmjhL4exA,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
900,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,rq2celrZXJYZPbmjhL4exA,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
1000,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,rq2celrZXJYZPbmjhL4exA,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
1100,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
1200,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
1300,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
1400,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
1500,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
1600,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
1700,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,ViQnCOPRpAGCPFQx5WqW8g
1800,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,1xgnvLADT-Kss2duhmiAwQ
1900,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,1xgnvLADT-Kss2duhmiAwQ
2000,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2100,AoQI0h3gvajBzU37LENNrA,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2200,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2300,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2400,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2500,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2600,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2700,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2800,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2900,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3000,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
